KATEGORI,YUK TURU,MIKTAR ARALIGI,EURO,BIRIM,NOT
A - DOKME ESYA,Kati Esya (Maden cevheri / hurda / komur / cimento / klinker / ponza / suni gubre),0 - 10.000 ton,0.15,EUR/MT,
A - DOKME ESYA,Kati Esya (Maden cevheri / hurda / komur / cimento / klinker / ponza / suni gubre),10.001 - 20.000 ton,0.10,EUR/MT,
A - DOKME ESYA,Kati Esya (Maden cevheri / hurda / komur / cimento / klinker / ponza / suni gubre),20.000 ton uzeri,0.05,EUR/MT,
A - DOKME ESYA,Tahil ve Tohumlar (Bugday / arpa / misir / pirinc / soya / aycicegi),0 - 10.000 ton,0.10,EUR/MT,
A - DOKME ESYA,Tahil ve Tohumlar (Bugday / arpa / misir / pirinc / soya / aycicegi),10.001 - 25.000 ton,0.075,EUR/MT,
A - DOKME ESYA,Tahil ve Tohumlar (Bugday / arpa / misir / pirinc / soya / aycicegi),25.000 ton uzeri,0.045,EUR/MT,
A - DOKME ESYA,Bakliyat (Bakla / fasulye / mercimek / nohut),0 - 5.000 ton,0.30,EUR/MT,
A - DOKME ESYA,Bakliyat (Bakla / fasulye / mercimek / nohut),5.000 ton uzeri,0.15,EUR/MT,
A - DOKME ESYA,Ham Petrol ve Akaryakit,0 - 15.000 ton,0.040,EUR/MT,
A - DOKME ESYA,Ham Petrol ve Akaryakit,15.001 - 35.000 ton,0.030,EUR/MT,
A - DOKME ESYA,Ham Petrol ve Akaryakit,35.000 ton uzeri,0.015,EUR/MT,
A - DOKME ESYA,LPG ve LNG,0 - 15.000 ton,0.15,EUR/MT,
A - DOKME ESYA,LPG ve LNG,15.000 ton uzeri,0.05,EUR/MT,
A - DOKME ESYA,Kimyevi maddeler / Zeytinyagi / Melas / Madeni yag,Tum miktarlar,0.15,EUR/MT,Sabit oran
B - DOKME OLMAYAN ESYA,Tahil-Un / Seker / Cimento / Mermer blok,0 - 20.000 ton,0.15,EUR/MT,
B - DOKME OLMAYAN ESYA,Tahil-Un / Seker / Cimento / Mermer blok,20.000 ton uzeri,0.05,EUR/MT,
B - DOKME OLMAYAN ESYA,Taze meyve-sebze / Narenciye / Dondurulmus gida,Tum miktarlar,1.00,EUR/MT,Sabit oran
B - DOKME OLMAYAN ESYA,Bakliyat ve Tohumlar,Tum miktarlar,0.60,EUR/MT,Sabit oran
B - DOKME OLMAYAN ESYA,Kagit ve Demir-celik urunleri (Sac / kangal / profil / boru / rulo sac),0 - 5.000 ton,0.25,EUR/MT,
B - DOKME OLMAYAN ESYA,Kagit ve Demir-celik urunleri (Sac / kangal / profil / boru / rulo sac),5.001 - 10.000 ton,0.15,EUR/MT,
B - DOKME OLMAYAN ESYA,Kagit ve Demir-celik urunleri (Sac / kangal / profil / boru / rulo sac),10.000 ton uzeri,0.10,EUR/MT,
B - DOKME OLMAYAN ESYA,Agac kutugu ve tomruk,0 - 3.000 ton,0.50,EUR/MT,
B - DOKME OLMAYAN ESYA,Agac kutugu ve tomruk,3.001 - 5.000 ton,0.35,EUR/MT,
B - DOKME OLMAYAN ESYA,Agac kutugu ve tomruk,5.001 ton uzeri,0.10,EUR/MT,
C - BOS KONTEYNER / BOS TREYLER,Bos konteyner ve bos treyler,Tum miktarlar,10.00,EUR/Adet,Yillik 25.000 adet uzerinde islem yapan hatlar muaf
D - CANLI HAYVANLAR,Kucukbas hayvan,Tum miktarlar,0.05,EUR/Adet,
D - CANLI HAYVANLAR,Buyukbas hayvan,Tum miktarlar,0.15,EUR/Adet,
E - DIGER / KIRKAMBAR,Tasiyan tarafindan odenir,Tum miktarlar,1.00,EUR/MT,
E - DIGER / KIRKAMBAR,Yukleyici veya alici tarafindan odenir,Tum miktarlar,0.60,EUR/MT,
F - KONTEYNER,Dolu konteyner (tum yukler),Tum miktarlar,15.00,EUR/Adet,Yillik 50.000 adet uzerinde islem yapan hatlar muaf
F - KONTEYNER,Transit konteyner (yurt disi - yurt disi),Tum miktarlar,15.00,EUR/Adet,Yillik 50.000 adet uzerinde islem yapan hatlar muaf
G - OTOMOBIL / HAFIF ARACLAR,Otomobil / Jeep / Pikap / Panelvan / Minibus / Midibus,0 - 50 adet,5.00,EUR/Adet,
G - OTOMOBIL / HAFIF ARACLAR,Otomobil / Jeep / Pikap / Panelvan / Minibus / Midibus,51 - 300 adet,3.00,EUR/Adet,
G - OTOMOBIL / HAFIF ARACLAR,Otomobil / Jeep / Pikap / Panelvan / Minibus / Midibus,301 ve uzeri,1.50,EUR/Adet,
H - RO-RO / IS MAKINALARI,Tekerlekli-paletli vasita ve is makinalari,Tum miktarlar,3.00,EUR/Metre,Uzunluk uzerinden beher metre icin
GENEL KURAL,Asgari gozetim ucreti,--,300,EUR,Hesaplanan toplam ucret 300 EUR altinda olamaz
GENEL KURAL,Azami gozetim ucreti,--,10000,EUR,Hesaplanan toplam ucret 10.000 EUR ustunde olamaz
GENEL KURAL,Turk bayrakli gemiler indirimi,--,%50,--,Turk bayrakli gemilere tum ucretler %50 indirimli uygulanir
